,actual_label,prediction_label
478,entertainment,entertainment
280,entertainment,entertainment
1943,tech,tech
1209,entertainment,entertainment
63,sport,sport
882,tech,tech
1088,business,business
833,sport,sport
988,sport,sport
239,tech,tech
880,entertainment,tech
2132,tech,tech
336,entertainment,entertainment
1051,politics,politics
999,entertainment,entertainment
1162,sport,sport
237,business,business
1588,politics,politics
15,business,business
1790,politics,politics
803,tech,tech
789,sport,sport
811,business,business
2180,sport,sport
859,tech,tech
1589,business,business
1032,entertainment,entertainment
941,tech,tech
812,politics,politics
1437,politics,politics
1732,tech,tech
1046,sport,sport
251,sport,sport
848,tech,tech
1252,tech,tech
1727,sport,sport
2095,tech,tech
186,business,business
1132,business,business
898,sport,sport
174,politics,politics
596,sport,sport
1771,tech,tech
1047,entertainment,entertainment
495,politics,politics
1492,entertainment,entertainment
1627,politics,politics
2094,tech,tech
1919,politics,politics
1539,entertainment,sport
1881,politics,politics
651,entertainment,business
1649,business,business
1243,sport,sport
219,politics,politics
1900,sport,sport
1757,tech,tech
1670,entertainment,entertainment
2151,sport,sport
212,sport,sport
1117,business,business
1392,business,business
1007,politics,politics
953,entertainment,entertainment
530,politics,politics
1795,entertainment,entertainment
1144,business,business
870,business,business
1853,entertainment,entertainment
974,business,business
709,tech,tech
1231,tech,tech
592,tech,business
1553,politics,politics
616,business,business
1866,tech,tech
1856,sport,sport
1098,entertainment,entertainment
1897,sport,sport
2057,business,business
1175,entertainment,entertainment
1031,tech,tech
977,sport,sport
1779,entertainment,entertainment
621,politics,politics
528,entertainment,entertainment
1983,sport,sport
1651,business,business
1566,tech,tech
891,politics,politics
1065,sport,sport
1729,business,business
1500,tech,tech
1583,entertainment,entertainment
236,tech,tech
331,tech,tech
2194,business,business
401,tech,tech
2181,entertainment,politics
1632,sport,sport
1780,entertainment,entertainment
505,sport,sport
1035,politics,politics
412,politics,politics
452,business,business
622,politics,politics
1967,tech,tech
2219,business,business
983,business,business
1178,tech,tech
1181,tech,tech
597,entertainment,entertainment
1574,tech,tech
695,sport,sport
1239,entertainment,entertainment
501,business,business
1501,tech,tech
232,sport,sport
1636,sport,sport
1830,tech,tech
2177,sport,sport
1376,business,business
523,politics,politics
1122,business,business
2208,entertainment,entertainment
594,sport,sport
1109,business,business
433,sport,sport
1247,entertainment,entertainment
209,sport,sport
499,business,business
2161,tech,tech
626,business,business
821,business,business
1409,politics,business
262,tech,tech
1159,tech,tech
965,business,business
599,tech,tech
2212,business,business
115,entertainment,entertainment
918,tech,tech
1085,business,business
1999,sport,sport
1451,business,business
1187,sport,sport
670,tech,tech
807,entertainment,entertainment
2092,business,business
1482,entertainment,entertainment
2199,business,business
895,business,business
545,sport,sport
1657,entertainment,entertainment
1824,politics,politics
1168,sport,sport
1194,business,business
2211,entertainment,entertainment
1284,business,business
198,tech,tech
1699,sport,sport
192,politics,politics
1211,business,business
1097,tech,tech
1556,tech,tech
1709,politics,politics
2202,tech,tech
316,business,business
899,sport,sport
16,politics,politics
860,tech,tech
1016,entertainment,entertainment
900,sport,sport
788,tech,tech
1847,politics,politics
1662,business,business
1593,sport,sport
35,politics,politics
1204,politics,politics
1799,politics,politics
416,tech,tech
715,entertainment,entertainment
1630,politics,politics
2143,tech,tech
578,sport,sport
735,business,business
1998,business,business
1934,tech,tech
685,business,business
631,business,business
1698,tech,tech
1059,entertainment,entertainment
242,business,business
748,politics,politics
283,politics,politics
2045,sport,sport
1940,sport,sport
536,entertainment,entertainment
301,politics,politics
7,sport,sport
1224,business,business
69,business,business
1401,business,business
931,business,business
911,tech,tech
434,business,business
1432,business,business
14,sport,sport
700,politics,politics
1941,sport,sport
574,politics,politics
2178,entertainment,entertainment
737,business,business
1988,sport,sport
1785,tech,tech
466,sport,sport
2164,sport,sport
1525,politics,politics
2021,entertainment,entertainment
386,sport,sport
119,sport,sport
2156,sport,sport
1607,politics,politics
1784,sport,sport
672,tech,tech
1938,politics,politics
19,tech,business
315,sport,sport
2140,sport,sport
684,sport,sport
1891,business,business
1396,sport,sport
345,sport,sport
1892,politics,politics
460,business,business
2149,tech,tech
1303,tech,tech
74,business,politics
930,tech,tech
2008,tech,tech
1498,sport,sport
913,business,business
1527,politics,politics
2099,politics,politics
131,entertainment,business
1772,sport,sport
1609,sport,sport
733,entertainment,entertainment
837,business,business
1423,sport,sport
634,sport,sport
1262,politics,politics
1095,sport,sport
500,tech,business
801,sport,sport
866,entertainment,entertainment
960,business,business
808,tech,tech
155,entertainment,entertainment
1338,sport,sport
441,business,tech
2012,entertainment,entertainment
1917,politics,politics
1929,entertainment,entertainment
912,tech,tech
1430,sport,sport
586,entertainment,entertainment
726,sport,sport
1906,entertainment,entertainment
818,business,business
142,tech,tech
2003,business,business
2176,business,business
1587,sport,sport
397,politics,politics
1645,sport,sport
985,sport,sport
1750,sport,sport
238,business,business
847,entertainment,politics
1990,politics,politics
2009,sport,sport
2038,politics,politics
904,business,business
463,tech,tech
1331,entertainment,politics
604,entertainment,entertainment
447,business,business
1504,entertainment,entertainment
2174,tech,tech
488,sport,sport
349,tech,tech
662,business,business
1974,tech,tech
1637,business,business
436,business,business
1213,sport,sport
668,business,business
1218,politics,politics
459,sport,sport
52,business,business
1127,entertainment,sport
1,business,business
82,politics,politics
1788,entertainment,politics
1859,tech,tech
369,entertainment,entertainment
1845,business,business
635,tech,tech
310,politics,politics
1418,politics,politics
2154,business,business
1343,sport,sport
1189,tech,tech
892,sport,sport
550,politics,politics
1916,entertainment,entertainment
711,entertainment,sport
762,sport,sport
901,entertainment,entertainment
772,entertainment,politics
1355,sport,sport
1296,politics,politics
