,actual_label,prediction_label
91738,MEDIA,ENTERTAINMENT
93537,WOMEN,POLITICS
176068,CULTURE & ARTS,POLITICS
171098,TRAVEL,TRAVEL
31913,POLITICS,POLITICS
28846,POLITICS,POLITICS
126458,WELLNESS,WELLNESS
127803,STYLE & BEAUTY,ENTERTAINMENT
98845,CRIME,POLITICS
114968,TRAVEL,POLITICS
87648,GREEN,POLITICS
8638,POLITICS,POLITICS
122007,WEIRD NEWS,POLITICS
103479,ENTERTAINMENT,POLITICS
50382,POLITICS,POLITICS
24964,GREEN,POLITICS
2887,QUEER VOICES,ENTERTAINMENT
116425,RELIGION,POLITICS
91943,IMPACT,POLITICS
75894,CRIME,POLITICS
35735,WOMEN,POLITICS
198605,PARENTING,PARENTING
9086,EDUCATION,POLITICS
110276,SCIENCE,WELLNESS
84627,ENTERTAINMENT,POLITICS
47234,WOMEN,ENTERTAINMENT
7176,POLITICS,POLITICS
17180,THE WORLDPOST,POLITICS
84867,SCIENCE,POLITICS
40484,POLITICS,POLITICS
31746,COMEDY,ENTERTAINMENT
177709,HOME & LIVING,STYLE & BEAUTY
200370,WELLNESS,WELLNESS
190464,DIVORCE,WELLNESS
164638,PARENTING,POLITICS
30939,POLITICS,POLITICS
71568,POLITICS,POLITICS
86949,POLITICS,POLITICS
131539,WELLNESS,WELLNESS
78863,TECH,POLITICS
79778,RELIGION,POLITICS
65588,POLITICS,POLITICS
117979,POLITICS,POLITICS
23718,QUEER VOICES,POLITICS
6182,POLITICS,POLITICS
117978,IMPACT,POLITICS
98006,HEALTHY LIVING,POLITICS
121742,RELIGION,POLITICS
135724,TRAVEL,TRAVEL
8779,ENTERTAINMENT,ENTERTAINMENT
147753,ENTERTAINMENT,ENTERTAINMENT
133947,BLACK VOICES,POLITICS
88448,POLITICS,POLITICS
2731,COMEDY,POLITICS
23469,PARENTS,POLITICS
18678,HEALTHY LIVING,WELLNESS
92317,ARTS,POLITICS
101874,CRIME,POLITICS
54828,POLITICS,POLITICS
104943,WOMEN,WELLNESS
108008,POLITICS,POLITICS
71378,BUSINESS,POLITICS
43026,POLITICS,POLITICS
44696,THE WORLDPOST,POLITICS
153930,WELLNESS,WELLNESS
98207,HEALTHY LIVING,WELLNESS
94483,RELIGION,POLITICS
25016,POLITICS,POLITICS
167992,WELLNESS,WELLNESS
151797,ENVIRONMENT,POLITICS
125214,PARENTING,ENTERTAINMENT
19821,WORLD NEWS,POLITICS
86595,ENTERTAINMENT,POLITICS
179227,WEDDINGS,ENTERTAINMENT
11915,MEDIA,POLITICS
184234,PARENTING,WELLNESS
143496,TRAVEL,TRAVEL
16400,GREEN,POLITICS
130206,STYLE & BEAUTY,WELLNESS
186738,MONEY,WELLNESS
189197,STYLE & BEAUTY,STYLE & BEAUTY
